"filename", "language", "JavaScript", "Markdown", "HTML", "TypeScript", "TypeScript JSX", "PostCSS", "JSON", "XML", "comment", "blank", "total"
"c:\Users\Abdessamed\Desktop\lokar\backend\src\modules\booking\booking.route.ts", "TypeScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 4, 10
"c:\Users\Abdessamed\Desktop\lokar\backend\src\modules\booking\booking.schema.ts", "TypeScript", 0, 0, 0, 15, 0, 0, 0, 0, 0, 6, 21
"c:\Users\Abdessamed\Desktop\lokar\backend\src\modules\booking\booking.service.ts", "TypeScript", 0, 0, 0, 10, 0, 0, 0, 0, 0, 3, 13
"c:\Users\Abdessamed\Desktop\lokar\backend\src\modules\user\user.model.ts", "TypeScript", 0, 0, 0, 15, 0, 0, 0, 0, 0, 3, 18
"c:\Users\Abdessamed\Desktop\lokar\backend\src\modules\vehicle\vehicle.controller.ts", "TypeScript", 0, 0, 0, 17, 0, 0, 0, 0, 0, 2, 19
"c:\Users\Abdessamed\Desktop\lokar\backend\src\modules\vehicle\vehicle.middleware.ts", "TypeScript", 0, 0, 0, 17, 0, 0, 0, 0, 0, 5, 22
"c:\Users\Abdessamed\Desktop\lokar\backend\src\modules\vehicle\vehicle.model.ts", "TypeScript", 0, 0, 0, 17, 0, 0, 0, 0, 0, 3, 20
"c:\Users\Abdessamed\Desktop\lokar\backend\src\modules\vehicle\vehicle.route.ts", "TypeScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 4, 10
"c:\Users\Abdessamed\Desktop\lokar\backend\src\modules\vehicle\vehicle.schema.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 0, 0, 0, 8, 20
"c:\Users\Abdessamed\Desktop\lokar\backend\src\modules\vehicle\vehicle.service.ts", "TypeScript", 0, 0, 0, 10, 0, 0, 0, 0, 0, 3, 13
"c:\Users\Abdessamed\Desktop\lokar\backend\src\server.ts", "TypeScript", 0, 0, 0, 8, 0, 0, 0, 0, 0, 2, 10
"c:\Users\Abdessamed\Desktop\lokar\backend\src\types\global.d.ts", "TypeScript", 0, 0, 0, 43, 0, 0, 0, 0, 0, 3, 46
"c:\Users\Abdessamed\Desktop\lokar\backend\src\types\shared\user.types.ts", "TypeScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 2, 8
"c:\Users\Abdessamed\Desktop\lokar\backend\src\utils\try-catch.ts", "TypeScript", 0, 0, 0, 19, 0, 0, 0, 0, 2, 4, 25
"c:\Users\Abdessamed\Desktop\lokar\backend\src\utils\utils.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Abdessamed\Desktop\lokar\frontend\.prettierrc", "JSON", 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\Abdessamed\Desktop\lokar\frontend\.vite\deps\_metadata.json", "JSON", 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 48
"c:\Users\Abdessamed\Desktop\lokar\frontend\.vite\deps\lucide-react.js", "JavaScript", 35394, 0, 0, 0, 0, 0, 0, 0, 13371, 1673, 50438
"c:\Users\Abdessamed\Desktop\lokar\frontend\.vite\deps\react-BhPhf8gb.js", "JavaScript", 783, 0, 0, 0, 0, 0, 0, 0, 16, 3, 802
"c:\Users\Abdessamed\Desktop\lokar\frontend\.vite\deps\react-dom-DBrcVFdG.js", "JavaScript", 169, 0, 0, 0, 0, 0, 0, 0, 14, 3, 186
"c:\Users\Abdessamed\Desktop\lokar\frontend\.vite\deps\react-dom_client.js", "JavaScript", 14356, 0, 0, 0, 0, 0, 0, 0, 27, 6, 14389
"c:\Users\Abdessamed\Desktop\lokar\frontend\.vite\deps\react-router-dom.js", "JavaScript", 9521, 0, 0, 0, 0, 0, 0, 0, 198, 10, 9729
"c:\Users\Abdessamed\Desktop\lokar\frontend\.vite\deps\react.js", "JavaScript", 2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"c:\Users\Abdessamed\Desktop\lokar\frontend\.vite\deps\react_jsx-dev-runtime.js", "JavaScript", 189, 0, 0, 0, 0, 0, 0, 0, 14, 4, 207
"c:\Users\Abdessamed\Desktop\lokar\frontend\README.md", "Markdown", 0, 60, 0, 0, 0, 0, 0, 0, 0, 14, 74
"c:\Users\Abdessamed\Desktop\lokar\frontend\design.md", "Markdown", 0, 61, 0, 0, 0, 0, 0, 0, 0, 34, 95
"c:\Users\Abdessamed\Desktop\lokar\frontend\eslint.config.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 0, 0, 2, 24
"c:\Users\Abdessamed\Desktop\lokar\frontend\index.html", "HTML", 0, 0, 13, 0, 0, 0, 0, 0, 0, 1, 14
"c:\Users\Abdessamed\Desktop\lokar\frontend\public\vite.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\Abdessamed\Desktop\lokar\frontend\src\App.tsx", "TypeScript JSX", 0, 0, 0, 0, 19, 0, 0, 0, 0, 3, 22
"c:\Users\Abdessamed\Desktop\lokar\frontend\src\assets\react.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\Abdessamed\Desktop\lokar\frontend\src\components\BrandSection.tsx", "TypeScript JSX", 0, 0, 0, 0, 48, 0, 0, 0, 0, 6, 54
"c:\Users\Abdessamed\Desktop\lokar\frontend\src\components\CTASection.tsx", "TypeScript JSX", 0, 0, 0, 0, 23, 0, 0, 0, 0, 3, 26
"c:\Users\Abdessamed\Desktop\lokar\frontend\src\components\CarCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 74, 0, 0, 0, 0, 7, 81
"c:\Users\Abdessamed\Desktop\lokar\frontend\src\components\CarFilters.tsx", "TypeScript JSX", 0, 0, 0, 0, 54, 0, 0, 0, 0, 6, 60
"c:\Users\Abdessamed\Desktop\lokar\frontend\src\components\FeaturedCarsSection.tsx", "TypeScript JSX", 0, 0, 0, 0, 43, 0, 0, 0, 0, 6, 49
"c:\Users\Abdessamed\Desktop\lokar\frontend\src\components\FeaturesSection.tsx", "TypeScript JSX", 0, 0, 0, 0, 44, 0, 0, 0, 0, 4, 48
"c:\Users\Abdessamed\Desktop\lokar\frontend\src\components\Footer.tsx", "TypeScript JSX", 0, 0, 0, 0, 91, 0, 0, 0, 0, 7, 98
"c:\Users\Abdessamed\Desktop\lokar\frontend\src\components\Hero.tsx", "TypeScript JSX", 0, 0, 0, 0, 71, 0, 0, 0, 9, 14, 94
"c:\Users\Abdessamed\Desktop\lokar\frontend\src\components\Navbar.tsx", "TypeScript JSX", 0, 0, 0, 0, 79, 0, 0, 0, 0, 7, 86
"c:\Users\Abdessamed\Desktop\lokar\frontend\src\components\WhyChooseSection.tsx", "TypeScript JSX", 0, 0, 0, 0, 69, 0, 0, 0, 0, 7, 76
"c:\Users\Abdessamed\Desktop\lokar\frontend\src\data\mockData.ts", "TypeScript", 0, 0, 0, 154, 0, 0, 0, 0, 0, 2, 156
"c:\Users\Abdessamed\Desktop\lokar\frontend\src\index.css", "PostCSS", 0, 0, 0, 0, 0, 24, 0, 0, 0, 6, 30
